card_number,card_type
3742-8375-6443-8590,americanexpress
5108-7574-2920-6803,mastercard
3466-5960-1418-4580,americanexpress
3379-4110-3466-1310,americanexpress
3742-8382-6101-0570,americanexpress
5002-3594-5319-1014,mastercard
3438-5506-5448-2790,americanexpress
5122-4098-9757-8766,mastercard
3742-8376-7036-0310,americanexpress
4041-3757-4304-3407,visa
3742-8862-9783-4150,americanexpress
5100-1491-9212-0304,mastercard
5108-7546-4908-7766,mastercard
4262-9066-4365-7000,visa
3723-0139-1287-8790,americanexpress
4858-5115-7122-3000,visa
5100-1472-8131-7534,mastercard
5100-1730-4728-0832,mastercard
4017-9500-6281-0000,visa
4041-5965-2059-3000,visa
5100-1431-0442-7071,mastercard
3481-6980-7796-5230,americanexpress
3742-8889-7783-4510,americanexpress
5002-3537-1745-1926,mastercard
3742-8385-3694-9250,americanexpress
3403-2288-8123-5330,americanexpress
3497-9717-6891-3400,americanexpress
5580-9476-7037-6028,mastercard
3723-0124-5489-1920,americanexpress
3746-2243-5619-5890,americanexpress
5108-7557-3480-9949,mastercard
4041-5976-8082-0030,visa
5100-1476-0010-6766,mastercard
3746-2267-7977-3800,americanexpress
5108-7563-7574-5509,mastercard
5595-3741-1080-7194,mastercard
3379-4133-9159-6820,americanexpress
3732-7452-5728-0440,americanexpress
5002-3569-0363-0476,mastercard
5100-1799-9452-2514,mastercard
3379-4193-0309-6940,americanexpress
3379-4111-9036-1180,americanexpress
4133-3674-0586-2000,visa
4174-4875-8615-6250,visa
4041-3789-4360-9000,visa
3723-0169-8744-2340,americanexpress
5002-3535-6371-6844,mastercard
4017-9548-4025-2000,visa
4041-3757-9743-1300,visa
5010-1254-1009-8745,mastercard
5100-1797-2040-5596,mastercard
3496-4064-9957-2820,americanexpress
5002-3537-1118-7039,mastercard
3467-8049-1629-5720,americanexpress
3742-8891-3860-3410,americanexpress
3472-4498-2563-5180,americanexpress
5197-0833-2516-0701,mastercard
4101-1432-6249-3000,visa
3723-0141-1548-4660,americanexpress
5233-1007-9850-4441,mastercard
3723-0112-0419-4620,americanexpress
4644-0676-1710-4230,visa
3445-5644-1167-5880,americanexpress
5007-6678-9836-9184,mastercard
4017-9504-7689-4786,visa
4017-9520-0592-4000,visa
3723-0145-9699-6350,americanexpress
5392-6583-7890-7844,mastercard
5108-7555-0026-5102,mastercard
